date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:07	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2017:32:03%20GMT	http://zine.co.in/robots.txt		(from )
23:02:07	14065/14065	---M-Z	200	added ('OK')	text/html	etag:%22964190e-36f1-591004f2e4866-gzip%22	http://zine.co.in/	G:/ZineWebsite/twentyninth/zine.co.in/index.html	(from )
23:02:11	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	G:/ZineWebsite/twentyninth/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://zine.co.in/)
23:02:13	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	G:/ZineWebsite/twentyninth/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://zine.co.in/)
23:02:14	3602/3602	---M--	200	added ('OK')	text/css	etag:%2296418a5-e12-590df2b2bab1f%22	http://zine.co.in/css/flexslider.min.css	G:/ZineWebsite/twentyninth/zine.co.in/css/flexslider.min.css	(from http://zine.co.in/)
23:02:20	99089/99089	---M--	200	added ('OK')	text/css	etag:%2296418a0-18311-590df296ce89a%22	http://zine.co.in/css/bootstrap.min.css	G:/ZineWebsite/twentyninth/zine.co.in/css/bootstrap.min.css	(from http://zine.co.in/)
23:02:22	29063/29063	---M--	200	added ('OK')	text/css	etag:%2296418a7-7187-590df2b7f0b7e%22	http://zine.co.in/css/font-awesome.min.css	G:/ZineWebsite/twentyninth/zine.co.in/css/font-awesome.min.css	(from http://zine.co.in/)
23:02:22	21759/21759	---M--	200	added ('OK')	text/css	etag:%2296418a4-54ff-590df2b110a84%22	http://zine.co.in/css/elegant-icons.min.css	G:/ZineWebsite/twentyninth/zine.co.in/css/elegant-icons.min.css	(from http://zine.co.in/)
23:02:22	8331/8331	---M--	200	added ('OK')	text/css	etag:%2296418a9-208b-590df2bc29cdf%22	http://zine.co.in/css/pe-icon-7-stroke.min.css	G:/ZineWebsite/twentyninth/zine.co.in/css/pe-icon-7-stroke.min.css	(from http://zine.co.in/)
23:02:23	2996/2996	---M--	200	added ('OK')	text/css	etag:%2296418a8-bb4-590df2bbc8a23%22	http://zine.co.in/css/lightbox.min.css	G:/ZineWebsite/twentyninth/zine.co.in/css/lightbox.min.css	(from http://zine.co.in/)
23:02:25	46365/46365	---M--	200	added ('OK')	text/css	etag:%2296418ad-b51d-590df2bc8cedb%22	http://zine.co.in/css/theme-lava.css	G:/ZineWebsite/twentyninth/zine.co.in/css/theme-lava.css	(from http://zine.co.in/)
23:02:25	5419/5419	---M--	200	added ('OK')	text/css	etag:%2296418a2-152b-590df29ad321c%22	http://zine.co.in/css/custom.css	G:/ZineWebsite/twentyninth/zine.co.in/css/custom.css	(from http://zine.co.in/)
23:02:26	1322/1322	---M--	200	added ('OK')	text/css	etag:%2296418a3-52a-590df2af901fe%22	http://zine.co.in/css/custom-blog.css	G:/ZineWebsite/twentyninth/zine.co.in/css/custom-blog.css	(from http://zine.co.in/)
23:02:26	23409/23409	---M--	200	added ('OK')	text/css	etag:%2296418a1-5b71-590df298ff584%22	http://zine.co.in/css/bootstrap-theme.min.css	G:/ZineWebsite/twentyninth/zine.co.in/css/bootstrap-theme.min.css	(from http://zine.co.in/)
23:02:27	3797/3797	---M--	200	added ('OK')	text/css	etag:%2296418a6-ed5-590df2b4987e0%22	http://zine.co.in/css/font-awesome.css	G:/ZineWebsite/twentyninth/zine.co.in/css/font-awesome.css	(from http://zine.co.in/)
23:02:27	14065/14065	---M-Z	200	added ('OK')	text/html	etag:%22964190e-36f1-591004f2e4866-gzip%22	http://zine.co.in/index.html	G:/ZineWebsite/twentyninth/zine.co.in/index-2.html	(from http://zine.co.in/)
23:02:28	4616/4616	---M--	200	added ('OK')	image/png	etag:%2296604be-1208-590c0b4faa900%22	http://zine.co.in/img/ZINE/zine1.png	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/zine1.png	(from http://zine.co.in/)
23:02:29	38810/38810	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2017:32:25%20GMT	http://zine.co.in/team.php	G:/ZineWebsite/twentyninth/zine.co.in/team.html	(from http://zine.co.in/)
23:02:30	13221/13221	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2017:32:26%20GMT	http://zine.co.in/project/Projects.php	G:/ZineWebsite/twentyninth/zine.co.in/project/Projects.html	(from http://zine.co.in/)
23:02:30	34440/34440	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2017:32:26%20GMT	http://zine.co.in/achievements.php	G:/ZineWebsite/twentyninth/zine.co.in/achievements.html	(from http://zine.co.in/)
23:02:31	15165/15165	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2017:32:27%20GMT	http://zine.co.in/about.php	G:/ZineWebsite/twentyninth/zine.co.in/about.html	(from http://zine.co.in/)
23:02:35	2426/2426	---M-Z	200	added ('OK')	text/html	etag:%229660517-97a-595fbb17c73c3-gzip%22	http://zine.co.in/ComingSoon/commingsoon.html	G:/ZineWebsite/twentyninth/zine.co.in/ComingSoon/commingsoon.html	(from http://zine.co.in/)
23:03:32	433218/433218	---M--	200	added ('OK')	image/jpeg	etag:%2296604a3-69c42-590ea44688200%22	http://zine.co.in/img/ZINE/slider5.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/slider5.jpg	(from http://zine.co.in/)
23:03:38	26584/26584	---M--	200	added ('OK')	image/jpeg	etag:%229660253-67d8-590c0b4faa900%22	http://zine.co.in/img/ZINE/hero7.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/hero7.jpg	(from http://zine.co.in/)
23:03:39	364772/364772	---M--	200	added ('OK')	image/jpeg	etag:%2296604a2-590e4-590ea4449fd80%22	http://zine.co.in/img/ZINE/slider4.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/slider4.jpg	(from http://zine.co.in/)
23:04:07	605225/605225	---M--	200	added ('OK')	image/jpeg	etag:%2296604a1-93c29-590ea442b7900%22	http://zine.co.in/img/ZINE/slider3.jpeg	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/slider3.jpg	(from http://zine.co.in/)
23:04:21	81511/81511	---M--	200	added ('OK')	image/jpeg	etag:%2296604b9-13e67-590ea44a58b00%22	http://zine.co.in/img/ZINE/workshop.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/workshop.jpg	(from http://zine.co.in/)
23:04:22	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2017:34:18%20GMT	http://zine.co.in/img/hero7.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/hero7.1c.delayed	(from http://zine.co.in/)
23:04:27	299930/299930	---M--	200	added ('OK')	image/jpeg	etag:%229660252-4939a-590c0b4faa900%22	http://zine.co.in/img/ZINE/gallery/research.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/gallery/research.jpg	(from http://zine.co.in/)
23:04:28	321775/321775	---M--	200	added ('OK')	image/jpeg	etag:%229660238-4e8ef-590ea42fa4c00%22	http://zine.co.in/img/ZINE/compet.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/ZINE/compet.jpg	(from http://zine.co.in/)
23:04:40	33196/33196	---M--	200	added ('OK')	image/jpeg	etag:%229660222-81ac-590e74250f400%22	http://zine.co.in/img/grey-bg1.jpg	G:/ZineWebsite/twentyninth/zine.co.in/img/grey-bg1.jpg	(from http://zine.co.in/)
